filename,left,top,right,bottom
2018168.0148_11.png,0,0,0,0
2018054.1412_20.png,0,0,0,0
2018048.1606_00.png,0,0,0,0
2018044.0900_10.png,0,0,0,0
2018103.0024_31.png,0,0,0,0
2018100.0824_12.png,0,0,0,0
2018083.0700_20.png,0,0,0,0
2018101.1618_11.png,0,0,0,0
2018142.1642_31.png,0,0,0,0
2018167.1536_21.png,0,0,0,0
2018040.2018_02.png,0,0,0,0
2018108.0348_01.png,0,0,0,0
2018104.1348_22.png,0,0,0,0
2018051.0136_10.png,0,0,0,0
2018018.1524_02.png,0,0,0,0
2018101.1618_20.png,0,0,0,0
2018110.0824_12.png,0,0,0,0
2018043.2118_32.png,0,0,0,0
2018101.0600_21.png,0,0,0,0
2018253.1518_32.png,0,0,0,0
2018106.0618_31.png,0,0,0,0
2018081.1036_10.png,0,0,0,0
2018162.0706_01.png,0,0,0,0
2018169.1924_22.png,0,0,0,0
2018219.1100_01.png,0,0,0,0
2018054.0042_12.png,0,0,0,0
2018044.1412_32.png,0,0,0,0
2018015.1954_10.png,0,0,0,0
2018254.2154_31.png,0,0,0,0
2018054.1412_10.png,0,0,0,0
2018025.1448_31.png,0,0,0,0
2018104.0824_11.png,0,0,0,0
2018169.0636_32.png,0,0,0,0
2018069.0818_11.png,0,0,0,0
2018077.2224_32.png,0,0,0,0
2018019.1506_01.png,0,0,0,0
2018111.0118_30.png,0,0,0,0
2018109.1854_00.png,0,0,0,0
2018162.0700_12.png,0,0,0,0
2018169.0636_21.png,0,0,0,0
2018219.1054_31.png,0,0,0,0
2018104.1842_21.png,0,0,0,0
2018169.1930_31.png,0,0,0,0
2018019.1506_20.png,0,0,0,0
2018110.1324_21.png,0,0,0,0
2018025.1624_20.png,0,0,0,0
2018111.0942_02.png,0,0,0,0
2018169.0630_00.png,0,0,0,0
2018108.0036_21.png,0,0,0,0
2018169.2112_31.png,0,0,0,0
2018044.1354_21.png,0,0,0,0
2018013.0842_32.png,0,0,0,0
2018021.0254_02.png,0,0,0,0
2018110.2006_30.png,0,0,0,0
2018021.0254_21.png,0,0,0,0
2018105.0624_20.png,0,0,0,0
2018200.0654_11.png,0,0,0,0
2018162.0706_32.png,0,0,0,0
2018077.0648_02.png,0,0,0,0
2018141.0154_00.png,0,0,0,0
2018167.2354_00.png,0,0,0,0
2018198.1736_20.png,0,0,0,0
2018113.1724_11.png,0,0,0,0
2018110.2154_31.png,0,0,0,0
2018142.1648_12.png,0,0,0,0
2018130.1848_10.png,0,0,0,0
