filename,label
2018282.0300_21.png,gw
2018277.0430_11.png,gw
2018219.1606_20.png,gw
2018254.2148_21.png,gw
2018198.0548_01.png,gw
2018277.0430_10.png,gw
2018198.0548_21.png,gw
2018281.0142_10.png,gw
2018282.0118_12.png,gw
2018218.2312_20.png,gw
2018253.1524_11.png,gw
2018168.1530_22.png,gw
2018281.0136_12.png,gw
2018219.1600_11.png,gw
2018190.2154_00.png,gw
2018169.0124_11.png,gw
2018169.0442_10.png,gw
2018200.0648_12.png,gw
2018254.2330_21.png,gw
2018198.1742_00.png,gw
2018282.0300_20.png,gw
2018169.0442_20.png,gw
2018278.1048_31.png,gw
2018282.1800_20.png,gw
2018166.0042_01.png,gw
2018162.0706_12.png,gw
2018168.1530_31.png,gw
2018166.0042_11.png,gw
2018140.0030_20.png,gw
2018140.0212_30.png,gw
2018131.0700_12.png,gw
2018162.0200_10.png,gw
2018131.0700_20.png,gw
2018137.1454_11.png,gw
2018140.0212_20.png,gw
2018137.1454_12.png,gw
2018141.0012_11.png,gw
2018130.2224_31.png,gw
2018167.1530_11.png,gw
2018166.0042_10.png,gw
2018130.0018_10.png,gw
2018113.1912_11.png,gw
2018130.2218_20.png,gw
2018168.1530_21.png,gw
2018113.1730_20.png,gw
2018113.1912_10.png,gw
2018112.1242_22.png,gw
2018131.1006_21.png,gw
2018169.0630_12.png,gw
2018111.1118_22.png,gw
2018112.1100_12.png,gw
2018111.0112_11.png,gw
2018111.0112_21.png,gw
2018112.1242_31.png,gw
2018111.0942_21.png,gw
2018112.1100_22.png,gw
2018111.0112_20.png,gw
2018110.1136_12.png,gw
2018111.1118_12.png,gw
2018110.1136_21.png,gw
2018111.1118_10.png,gw
2018110.1142_00.png,gw
2018110.1136_22.png,gw
2018112.1930_21.png,gw
2018108.1906_00.png,gw
2018108.0854_12.png,gw
2018110.1136_20.png,gw
2018106.0124_21.png,gw
2018104.0142_12.png,gw
2018111.0942_00.png,gw
2018101.0600_20.png,gw
2018109.2030_10.png,gw
2018110.0824_00.png,gw
2018101.0600_10.png,gw
2018105.0630_10.png,gw
2018105.1454_11.png,gw
2018102.0036_12.png,gw
2018102.0036_22.png,gw
2018110.1318_32.png,gw
2018101.1612_12.png,gw
2018083.0700_11.png,gw
2018101.1612_11.png,gw
2018103.0200_11.png,gw
